layers;8;15;20;25;17;10;4;2
Training Iteration: 100
Learning Rate: 0.05

Layer;Data;Train;Runtime  -  noise_dataset_layer_alternative
78900;116856700;-214490200;-97554600
145400;116476500;-216466600;-99844700
92200;117046500;-212156800;-95018100
127300;116331900;-214230000;-97770800
117200;115091000;-213569300;-98361100
-290900;115174700;-214059200;-99175400
155800;116499600;-213052400;-96397000
144500;116898000;-214571700;-97529200
92000;116613500;-214893100;-98187600
110200;120482200;-211282500;-90690100
124700;115879700;-214802700;-98798300
112700;119222900;-212156400;-92820800
101400;118510100;-212806300;-94194800
98500;120492700;-214119800;-93528600
136600;117990100;-215602400;-97475700
94700;116346500;-215988800;-99547600
91700;116514900;-215377300;-98770700
112900;115023200;-211643600;-96507500
117000;115844000;-215203000;-99242000
102800;115974900;-211720200;-95642500

Mean
93280;116963480;-213909615;-96852855
