layers;5;9;15;20;12;8;6
Training Iteration: 100
Learning Rate: 0.05

Layer;Data;Train;Runtime  -  noise_dataset_layer_alternative
79400;2730200;-23941400;-21131800
41500;2188399;-21055899;-18826000
39399;2275101;-20491100;-18176600
65800;2248501;-20654299;-18339998
61199;2460800;-22695499;-20173500
48301;2513600;-21151700;-18589799
96900;2388400;-20665600;-18180300
30901;2354600;-22043600;-19658099
39499;2489901;-21105300;-18575900
42899;2536099;-21528499;-18949501
43101;2309399;-20893100;-18540600
39101;2235099;-22788200;-20514000
38700;2244800;-20979099;-18695599
39800;2210700;-20205101;-17954601
27000;2354501;-22980200;-20598699
24099;2399900;-21071600;-18647601
32400;2379100;-20710601;-18299101
37200;2295900;-22452401;-20119301
62999;2813700;-41446899;-38570200
85601;2437999;-24162700;-21639100

Mean
48789;2393334;-22651139;-20209014
