layers;3;6;10;15;10;8
Training Iteration: 100
Learning Rate: 0.05

Layer;Data;Train;Runtime  -  whole_dataset_layer_alternative
52500;806100;-8071200;-7212600
51201;757298;-6654699;-5846200
39001;716699;-6410901;-5655201
51100;800100;-6555900;-5704700
50599;957600;-6701099;-5692900
37700;821000;-6553500;-5694800
51299;811701;-7256199;-6393199
30599;844100;-6704199;-5829500
81701;933899;-6824099;-5808499
48800;835700;-6499400;-5614900
62799;807499;-6544399;-5674101
66700;704800;-7036600;-6265100
37200;760099;-8997199;-8199900
46600;722100;-7045299;-6276599
57998;827402;-10292400;-9407000
40299;685801;-9102699;-8376599
50400;1597699;-6580199;-4932100
32599;852000;-6584799;-5700200
90800;784700;-6970100;-6094600
32899;799001;-7343901;-6512001

Mean
50639;841264;-7236439;-6344534
