layers;8;10;15;17;13;9
Training Iteration: 100
Learning Rate: 0.05

Layer;Data;Train;Runtime  -  whole_dataset_layer_alternative
28300;601600;452219000;452848900
28800;743800;449473300;450245900
29600;754000;448777200;449560800
29600;660200;444226700;444916500
32900;651600;445565000;446249500
28800;701700;450292100;451022600
29400;652200;447269700;447951300
31600;656900;447216400;447904900
29000;656500;448620000;449305500
28600;640400;445981900;446650900
28100;709300;442944100;443681500
29800;712200;445819100;446561100
29400;693900;443667800;444391100
30800;697700;446291400;447019900
33100;651700;446964800;447649600
33300;687900;450392600;451113800
29700;697300;449111300;449838300
50700;665700;447574000;448290400
44200;634900;445639900;446319000
51200;635500;448532400;449219100

Mean
32845;675250;447328935;448037030
