layers;8;10;6;4;2
Training Iteration: 100
Learning Rate: 0.05

Layer;Data;Train;Runtime  -  noise_dataset
23100;302000;63016700;63341800
26200;392300;64014500;64433000
27600;389100;61751900;62168600
27700;366900;63266600;63661200
23400;378700;63419400;63821500
24600;387800;64958400;65370800
24700;390900;63043400;63459000
24900;606700;62641100;63272700
21800;347900;61723500;62093200
22000;456900;61793600;62272500
22700;376400;65027900;65427000
25700;446100;62577100;63048900
24300;426500;65322800;65773600
25500;374700;63061200;63461400
25400;386600;63879100;64291100
24300;455400;61682900;62162600
25500;423000;64669400;65117900
24400;372000;62033400;62429800
22800;410600;63527400;63960800
23500;398600;62043200;62465300

Mean
24505;404455;63172675;63601635
