layers;11;20;25;23;17;14
Training Iteration: 100
Learning Rate: 0.05

Layer;Data;Train;Runtime  -  noise_dataset_layer_alternative
54500;2777300;4674007800;4676839600
40800;3098300;4323199300;4326338400
49900;3080700;4349968200;4353098800
43200;3219200;4384512900;4387775300
48000;3648000;4248912500;4252608500
42700;4999100;4275457500;4280499300
41200;3052100;4477445100;4480538400
40600;4498400;4279680600;4284219600
40600;2890600;4319187800;4322119000
49200;4427500;4564621700;4569098400
43000;3093600;4673660700;4676797300
44300;3164800;4797627800;4800836900
40400;2980700;4508824200;4511845300
102600;3737500;4351245500;4355085600
39400;2965700;4409713400;4412718500
39700;3092500;4616736100;4619868300
75600;3192500;4537681000;4540949100
62100;2944900;4490616400;4493623400
59700;2941700;4784646000;4787647400
54200;3067000;4596736700;4599857900

Mean
50585;3343605;4483224060;4486618250
