layers;9;15;20;17;10
Training Iteration: 100
Learning Rate: 0.05

Layer;Data;Train;Runtime  -  noise_dataset_layer_alternative
54800;638890401;-321946800;316998401
123699;642731201;-326961500;315893400
126500;638857599;-336695400;302288699
123000;636392300;-325869400;310645900
137301;640743700;-323810601;317070400
118201;640268599;-325236801;315149999
111399;641076401;-327640100;313547700
106200;640579600;-322686700;317999100
121000;631220199;-330855499;300485700
151999;641276599;-325495199;315933399
168400;637246200;-322303700;315110900
111501;637116300;-324433300;312794501
160300;638715899;-322168299;316707900
129800;641001900;-325103600;316028100
101100;640175301;-324099501;316176900
136201;638639400;-321916401;316859200
106400;640798200;-322618299;318286301
130698;639439802;-326858800;312711700
103900;644680900;-328241600;316543200
121701;633886899;-325064100;308944500

Mean
122205;639186870;-325500280;313808795
