layers;11;12;10;7;4
Training Iteration: 100
Learning Rate: 0.05

Layer;Data;Train;Runtime  -  noise_dataset
18300;12401841800;-822701000;11579159100
95200;12493667900;-655004300;11838758800
122700;11804951100;-709968300;11095105500
175700;10982579900;-677206800;10305548800
94500;11333856200;-834171100;10499779600
77100;11634485900;-699276600;10935286400
178500;11255381600;-684724900;10570835200
131000;11019386000;-780339500;10239177500
240600;12846672700;-765598200;12081315100
124500;12228099000;-625681100;11602542400
132000;12333240900;-871996300;11461376600
102000;10640537700;-766681600;9873958100
99400;10464432800;-520013900;9944518300
182100;11493782900;-682375100;10811589900
102500;10436944900;-746739700;9690307700
115600;10660126000;-715075700;9945165900
118700;10542463200;-834856300;9707725600
161600;11242403200;-751561200;10491003600
104700;11624153100;-706284100;10917973700
135800;11773920100;-667916400;11106139500

Mean
125625;11460646345;-725908605;10734863365
