layers;11;17;24;20;15;13;7;4
Training Iteration: 100
Learning Rate: 0.05

Layer;Data;Train;Runtime  -  whole_dataset_layer_alternative
98700;32514697800;2439544900;34954341400
167200;31692372500;2235314700;33927854400
302000;29455256100;2263232900;31718791000
189700;29117813200;2220068900;31338071800
200100;28387462000;2195221200;30582883300
188500;29558857900;2237511600;31796558000
217100;28465439600;2120530100;30586186800
186700;29442036900;2220838900;31663062500
159600;28895483900;2488004600;31383648100
164600;31431623600;2514041700;33945829900
241300;31659467400;2483001400;34142710100
171600;33543599400;2552377000;36096148000
227300;32875112500;2276508400;35151848200
170600;29930516600;2464109100;32394796300
224000;28571203500;2189639500;30761067000
171000;27499203800;2155750600;29655125400
174000;29044146300;2079411700;31123732000
174500;28516543700;2204888400;30721606600
191900;28522705100;2346011600;30868908600
189700;27199753400;2040133800;29240076900

Mean
190505;29816164760;2286307050;32102662315
