layers;11;20;25;23;17;14
Training Iteration: 100
Learning Rate: 0.05

Layer;Data;Train;Runtime  -  noise_dataset_layer_alternative
161500;13647065800;1974168800;15621396100
162600;14311250300;1304895100;15616308000
171100;13627331700;1340660300;14968163100
166400;14308274700;1508131900;15816573000
181400;15034424900;1435871800;16470478100
184000;14714496900;1549285900;16263966800
176800;14830367600;1425142500;16255686900
181700;15516470800;1518760800;17035413300
180100;15426570600;1565912200;16992662900
236700;14726786700;1444232800;16171256200
288200;14311405900;1397195400;15708889500
182700;13964767600;1353405300;15318355600
196100;13708324200;1451677100;15160197400
174500;13954974300;1369523200;15324672000
253500;13540114700;1378097100;14918465300
219100;12928637100;1369889700;14298745900
173100;13469977400;1273299000;14743449500
189200;13167867800;1360014800;14528071800
181700;13306682000;1230876900;14537740600
166400;13399085400;1276433200;14675685000

Mean
191340;14094743820;1426373690;15521308850
