layers;11;20;25;23;17;14
Training Iteration: 100
Learning Rate: 0.05

Layer;Data;Train;Runtime  -  clean_dataset_layer_alternative
4919000;6571587100;1389643200;7966149300
173900;7365931700;1498344300;8864449900
193400;7567874700;1549917400;9117985500
171600;7335730000;1434520400;8770422000
180100;7359713200;1494036900;8853930200
174500;7486122800;1449970000;8936267300
269100;7065501700;1501328500;8567099300
182800;7246972900;1363537500;8610693200
212900;7051947800;1386434100;8438594800
191400;6938628000;1392485600;8331305000
169600;6697438500;1307284700;8004892800
174300;6479105200;1389065500;7868345000
184700;6798725900;1307885400;8106796000
181000;6581753300;1371969400;7953903700
171700;6711477500;1363969200;8075618400
186400;6512490800;1311810500;7824487700
179000;6548938000;1343725900;7892842900
185900;6556684600;1251617600;7808488100
178100;6320747100;1245102500;7566027700
181700;6379036800;1275524800;7654743300

Mean
423055;6878820380;1381408670;8260652105
