layers;9;15;20;17;10
Training Iteration: 100
Learning Rate: 0.05

Layer;Data;Train;Runtime  -  noise_dataset_layer_alternative
24801;692899;478902200;479619900
28200;834100;478833999;479696299
28800;826000;493809100;494663900
23999;748801;479810500;480583300
24500;819200;481077900;481921600
24699;888901;476347501;477261101
25200;776800;479399100;480201100
24901;776500;476552899;477354300
23900;784800;482732100;483540800
24301;802900;480952900;481780101
23700;824100;476543500;477391300
24300;829900;478248700;479102900
24000;817500;475002000;475843500
25000;802800;477746099;478573899
33699;1003500;479077800;480114999
24299;822100;476958001;477804400
25100;923800;479317199;480266099
25401;849699;477813400;478688500
25200;827300;479839600;480692100
24199;789300;477703001;478516500

Mean
25409;822045;479333374;480180829
