layers;11;20;25;23;17;14
Training Iteration: 100
Learning Rate: 0.05

Layer;Data;Train;Runtime  -  whole_dataset_layer_alternative
111800;44862209300;-6149764600;38712556500
127500;45436027300;-5456323500;39979831300
164800;43630230000;-5490886300;38139508500
131700;43619586100;-5459954700;38159763100
184800;41556375200;-5530897800;36025662200
156900;40152058400;-5789565400;34362649900
190200;41439613600;-5798557300;35641246500
204600;44447189300;-6068833000;38378560900
136300;44716189000;-5662065200;39054260100
223600;44265340100;-5584289300;38681274400
147100;43561214200;-5581333800;37980027500
199600;42559608800;-6119158400;36440650000
218300;41209094000;-5923856600;35285455700
152000;40993300200;-5909240200;35084212000
190800;41125631300;-6090659400;35035162700
124200;40165660500;-6123727600;34042057100
199800;43528675800;-5659841100;37869034500
133400;45136971700;-6148476800;38988628300
147700;43595165400;-6061905700;37533407400
135000;41435411200;-6163911700;35271634500

Mean
164005;42871777570;-5838662420;37033279155
