layers;3;6;10;15;10;8
Training Iteration: 100
Learning Rate: 0.05

Layer;Data;Train;Runtime  -  noise_dataset_layer_alternative
71500;506800;1514600;2092900
82301;456399;1528501;2067201
47801;413400;1507199;1968400
43500;407800;1534800;1986100
45601;423300;1509700;1978601
44400;414999;1508801;1968200
47300;411899;1515401;1974600
43100;413299;1512401;1968800
42300;415300;1511899;1969499
42900;589300;1506100;2138300
50901;422400;1520300;1993601
54099;420201;1516900;1991200
44401;429699;1516801;1990901
44001;428700;1506100;1978801
43200;433800;1514699;1991699
47501;426800;1518400;1992701
43399;432300;1499101;1974800
84700;492200;1397199;1974099
45199;410701;1403400;1859300
42399;409701;1402900;1855000

Mean
50525;437949;1497260;1985735
