layers;11;12;10;7;4
Training Iteration: 100
Learning Rate: 0.05

Layer;Data;Train;Runtime  -  noise_dataset
56900;12404150600;291487700;12695695200
132200;12496386000;311889300;12808407500
145500;11807050100;270318800;12077514400
215700;10985782000;322153500;11308151200
140900;11336130600;276900400;11613171900
144900;11636882600;274482000;11911509500
202500;11257609500;261885800;11519697800
153000;11021543400;239805700;11261502100
273400;12849407900;295824500;13145505800
155500;12231342600;361935700;12593433800
156600;12335357500;259424600;12594938700
128200;10643292100;243881000;10887301300
123100;10466618300;413011300;10879752700
205500;11495972900;263952000;11760130400
151300;10440408300;268359900;10708919500
139900;10662213700;275102800;10937456400
143100;10545632600;271613800;10817389500
187400;11244559300;261975400;11506722100
133900;11626599600;275773800;11902507300
160500;11776038800;328635100;12104834400

Mean
157500;11463148920;288420655;11751727075
