layers;5;9;15;20;12;8;6
Training Iteration: 100
Learning Rate: 0.05

Layer;Data;Train;Runtime  -  clean_dataset_layer_alternative
3476000;1834301;-23332201;-18021900
97100;1752300;-20984600;-19135200
79299;1814001;-22218399;-20325099
63999;1973102;-21883500;-19846399
26700;1892200;-21438500;-19519600
41100;2120700;-23079600;-20917800
48500;1948900;-20905499;-18908099
66800;2073700;-31079401;-28938901
53900;1989799;-33728300;-31684601
42000;1952602;-20290902;-18296300
62198;1782701;-22265501;-20420602
46201;1851900;-20646802;-18748701
47699;2402201;-21666101;-19216201
72300;1795599;-22319199;-20451300
81200;1849601;-20483201;-18552400
37300;1880700;-20351000;-18433000
23399;1938601;-22280300;-20318300
56101;2006600;-20136900;-18074199
86900;2088300;-19928799;-17753599
87599;2105901;-41062600;-38869100

Mean
229814;1952685;-23504065;-21321565
