layers;5;9;15;20;12;8;6
Training Iteration: 100
Learning Rate: 0.05

Layer;Data;Train;Runtime  -  clean_dataset_layer_alternative
3500099;1961401;9176900;14638400
121800;1990700;9127200;11239700
106700;1978200;8878100;10963000
88400;2147401;8908700;11144501
66501;2083300;8882500;11032301
63700;2307400;8603500;10974600
69601;2123899;9274201;11467701
95400;2251000;9251099;11597499
89200;2281200;9224500;11594900
65100;2167801;9256399;11489300
90899;1965801;9209999;11266699
73700;2061800;9169699;11305199
69800;2561700;9651899;12283399
96500;2024400;9526000;11646900
103300;2041801;9202599;11347700
74200;2091100;9194600;11359900
69600;2097000;9346700;11513300
92401;2169600;9350600;11612601
125400;2255100;9538700;11919200
108399;2266801;9546400;11921600

Mean
258535;2141370;9216014;11615920
