layers;3;6;10;15;10;8
Training Iteration: 100
Learning Rate: 0.05

Layer;Data;Train;Runtime  -  clean_dataset_layer_alternative
29699;158700;5245501;5433900
30800;213100;4858500;5102400
29299;184401;6126601;6340301
35699;200801;9478301;9714801
29501;217800;4743100;4990401
41300;121900;4970299;5133499
27100;188700;5004599;5220399
27800;169000;4735100;4931900
22600;114201;4846800;4983601
27400;264301;4905899;5197600
24100;203700;5993400;6221200
23600;124601;5198999;5347200
25599;149100;4921301;5096000
25901;131299;4833200;4990400
23400;122500;4885300;5031200
24999;162001;4763301;4950301
23500;146400;4977800;5147700
20600;106600;5374100;5501300
24199;141300;4722201;4887700
75701;92899;4831100;4999700

Mean
29639;160665;5270770;5461075
