layers;9;15;20;17;10
Training Iteration: 100
Learning Rate: 0.05

Layer;Data;Train;Runtime  -  whole_dataset_layer_alternative
25901;1217399;962248400;963491700
25200;1278300;958519600;959823100
24900;1159800;959548600;960733300
24100;1185200;958271900;959481200
23300;1247200;961976900;963247400
25100;1155900;952056400;953237400
25500;1326400;958493599;959845499
24600;1290400;958107800;959422800
25501;1250499;959538300;960814300
24100;1328201;961081800;962434101
24301;1203099;960340099;961567499
24300;1170800;957928299;959123399
25301;1305499;959580700;960911500
24199;1167901;954047401;955239501
26500;1285299;959802200;961113999
24200;1195300;957693400;958912900
26900;1322800;959007000;960356700
25900;1288300;954146500;955460700
24400;1180200;955113399;956317999
24901;1133499;958015500;959173900

Mean
24955;1234599;958275889;959535444
