layers;3;6;15;24;17;9;7
Training Iteration: 100
Learning Rate: 0.05

Layer;Data;Train;Runtime  -  noise_dataset_layer_alternative
53901;99800;9373700;9527401
48399;150500;9375201;9574100
63600;153601;9274700;9491901
46000;172600;9227400;9446000
53700;257600;8887099;9198399
50000;173300;10789600;11012900
50100;193600;9103300;9347000
53300;161700;9122400;9337400
49500;162299;8543801;8755600
44801;108899;8655100;8808800
47999;141900;9006401;9196300
53801;173599;8832000;9059400
56099;150201;8581901;8788201
43700;114000;8903600;9061300
47900;153800;8814300;9016000
62901;177799;9370500;9611200
51601;223199;10777300;11052100
50200;195200;8914800;9160200
53300;175200;8905299;9133799
80000;133600;8896700;9110300

Mean
53040;163619;9167755;9384415
