layers;6;15;20;13;7
Training Iteration: 100
Learning Rate: 0.05

Layer;Data;Train;Runtime  -  clean_dataset_layer_alternative
53100;194000;52096200;52343300
46300;208600;47476800;47731700
42300;221500;47669700;47933500
37400;196200;49981300;50214900
45500;251600;47132000;47429100
41500;199100;47238900;47479500
47700;223500;51096000;51367200
43500;247400;48488000;48778900
44300;265000;48614300;48923600
72200;229200;51532300;51833700
47300;311000;47760900;48119200
43900;246800;47497200;47787900
42800;218800;49430300;49691900
41700;217600;47633800;47893100
44700;244300;47095400;47384400
75700;254200;49200600;49530500
59600;245300;47212100;47517000
44300;197300;47252600;47494200
43900;237200;49220300;49501400
41800;337600;47452000;47831400

Mean
47975;237310;48554035;48839320
