layers;7;15;20;13;8
Training Iteration: 100
Learning Rate: 0.05

Layer;Data;Train;Runtime  -  clean_dataset_layer_alternative
3505700;19598400;31667300;54771400
115400;19819900;33225800;53161100
149100;24392400;33474600;58016100
122700;21680500;33485700;55288900
151800;21042800;33600200;54794800
153400;21164800;32291100;53609300
147100;21248000;33325900;54721000
143500;22378500;33576700;56098700
147100;20871900;32143000;53162000
108400;19861900;32079200;52049500
108600;19996000;32120600;52225200
119000;22621500;31525600;54266100
83400;20251000;31268700;51603100
80800;23226100;31473200;54780100
100700;19538100;31366300;51005100
95700;22718800;31777000;54591500
117600;19942900;32183900;52244400
110800;19858400;31529800;51499000
113500;19633600;32315900;52063000
113000;23012300;32897600;56022900

Mean
289365;21142890;32366405;53798660
