layers;11;20;25;23;17;14
Training Iteration: 100
Learning Rate: 0.05

Layer;Data;Train;Runtime  -  noise_dataset_layer_alternative
107000;13644288500;-2699839000;10944556500
121800;14308152000;-3018304200;11289969600
121200;13624251000;-3009307900;10615064300
123200;14305055500;-2876381000;11428797700
133400;15030776900;-2813040700;12217869600
141300;14709497800;-2726171600;11983467500
135600;14827315500;-3052302600;11775148500
141100;15511972400;-2760919800;12751193700
139500;15423680000;-2753275600;12670543900
187500;14722359200;-3120388900;11602157800
245200;14308312300;-3276465300;11032092200
138400;13961602800;-3444222500;10517518700
155700;13705343500;-3057147100;10648352100
71900;13951236800;-2981722300;10969586400
214100;13537149000;-3031616300;10505746800
179400;12925544600;-3246846400;9678877600
97500;13466784900;-3264382000;10202500400
127100;13164922900;-3130601600;10034448400
122000;13303740300;-3553769100;9750093200
112200;13396018400;-3320303500;10075827100

Mean
140755;14091400215;-3056850370;11034690600
