layers;5;9;15;20;12;8;6
Training Iteration: 100
Learning Rate: 0.05

Layer;Data;Train;Runtime  -  clean_dataset_layer_alternative
24099;127100;32509101;32660300
24700;238400;30111800;30374900
27401;164199;31096499;31288099
24401;174299;30792200;30990900
39801;191100;30321000;30551901
22600;186700;31683100;31892400
21101;174999;30179700;30375800
28600;177300;40330500;40536400
35300;291401;42952800;43279501
23100;215199;29547301;29785600
28701;183100;31475500;31687301
27499;209900;29816501;30053900
22101;159499;31318000;31499600
24200;228801;31845199;32098200
22100;192200;29685800;29900100
36900;210400;29545600;29792900
46201;158399;31627000;31831600
36300;163000;29487500;29686800
38500;166800;29467499;29672799
20800;160900;50609000;50790700

Mean
28720;188684;32720080;32937485
