layers;8;15;20;25;17;10;4;2
Training Iteration: 100
Learning Rate: 0.05

Layer;Data;Train;Runtime  -  clean_dataset_layer_alternative
3290400;48323300;-212607000;-160993300
97400;47307200;-237235000;-189830400
126300;50257000;-211783200;-161399900
137800;47436600;-211724400;-164150000
140200;49485600;-212797500;-163171700
78200;49001000;-213583200;-164504000
124300;47163300;-214818300;-167530700
127400;49487700;-211962400;-162347300
99300;46364300;-214703100;-168239500
162000;49050200;-211632600;-162420400
145500;46936600;-215220500;-168138400
41700;49256400;-212463000;-163164900
114900;47763700;-216940400;-169061800
119000;46539800;-216090500;-169431700
149400;48679800;-214687700;-165858500
49900;47365600;-213237700;-165822200
103300;50939000;-214983100;-163940800
106600;47049600;-216286100;-169129900
110000;48464700;-210527400;-161952700
107400;53512900;-212124500;-158504200

Mean
271550;48519215;-214770380;-165979615
