layers;7;15;20;13;8
Training Iteration: 100
Learning Rate: 0.05

Layer;Data;Train;Runtime  -  whole_dataset_layer_alternative
28200;311400;207631700;207971300
31500;389700;223589200;224010400
38900;414100;212211300;212664300
29300;401300;217881600;218312200
32200;372600;215027600;215432400
42500;392400;214570800;215005700
32100;404400;213150800;213587300
31500;411600;217831800;218274900
31200;371200;208560100;208962500
29900;402400;212452300;212884600
30800;408200;212946200;213385200
29400;385700;211316400;211731500
28400;395900;209209200;209633500
28800;396800;210076600;210502200
31000;415200;212005400;212451600
31000;418200;214832500;215281700
33100;471900;211708500;212213500
33600;384900;208067600;208486100
30200;376500;213034600;213441300
29200;424500;205768500;206222200

Mean
31640;397445;212593635;213022720
