layers;7;15;20;13;8
Training Iteration: 100
Learning Rate: 0.05

Layer;Data;Train;Runtime  -  whole_dataset_layer_alternative
69300;101448900;61766800;163285000
110200;102281000;62066600;164457800
114100;101109400;61188100;162411600
105900;103977900;64050900;168134700
151500;108753600;66276600;175181700
151100;108955700;64217200;173324000
131300;108019000;66243200;174393500
151500;105206000;62416700;167774200
111400;104381900;62396100;166889400
138600;108541800;66782400;175462800
152100;103969700;62213700;166335500
108400;101752800;62191400;164052600
133900;104491900;63471300;168097100
154600;105817500;65566700;171538800
146100;102899000;61528700;164573800
134000;106250500;64141300;170525800
141900;100199300;61533700;161874900
109400;101994700;65528100;167632200
151000;110447500;64849000;175447500
136600;101344300;62147400;163628300

Mean
130145;104592120;63528795;168251060
