layers;8;10;6;4;2
Training Iteration: 100
Learning Rate: 0.05

Layer;Data;Train;Runtime  -  whole_dataset
75800;332609100;32989200;365674100
85800;320273500;33490600;353849900
91000;318290600;34215200;352596800
114700;316421100;32928600;349464400
103700;315706000;32622800;348432500
91200;315014800;33163900;348269900
109700;315520900;32962800;348593400
123300;315302500;34580800;350006600
111800;318294900;34152300;352559000
104100;313680300;32866800;346651200
84700;313041800;33231200;346357700
76700;318018800;33024300;351119800
70500;314455500;33403900;347929900
95700;318545300;33227500;351868500
93100;319150700;33555500;352799300
86600;314037100;32561800;346685500
92600;312948600;32857700;345898900
107000;318089700;32892600;351089300
88300;314174100;34198000;348460400
138900;317818600;33499700;351457200

Mean
97260;317069695;33321260;350488215
