layers;11;17;24;20;15;13;7;4
Training Iteration: 100
Learning Rate: 0.05

Layer;Data;Train;Runtime  -  clean_dataset_layer_alternative
63500;1329800;4064697000;4066090300
56500;1386800;3811750700;3813194000
48600;1310200;3847270500;3848629300
60500;1933600;3828170200;3830164300
47200;1295500;3766747500;3768090200
45900;1270200;3666639100;3667955200
44400;1246600;4257136500;4258427500
62100;1817400;3986901400;3988780900
46000;1327400;4119775200;4121148600
46900;1287600;4404038100;4405372600
46700;1280900;3929340600;3930668200
47800;1278500;4021014600;4022340900
62600;2055500;4168755700;4170873800
45900;1345300;4172910000;4174301200
47200;1305600;4047975400;4049328200
56200;1799500;3999267300;4001123000
47300;1227500;4075232100;4076506900
45000;1251700;4087444500;4088741200
45300;1299900;4065972900;4067318100
45900;1221500;3870040300;3871307700

Mean
50575;1413550;4009553980;4011018105
