layers;3;6;10;15;10;8
Training Iteration: 100
Learning Rate: 0.05

Layer;Data;Train;Runtime  -  clean_dataset_layer_alternative
3340701;286300;-3877701;-250700
42299;209501;-3503601;-3251801
13701;215298;-4788801;-4559802
21701;193299;-8139301;-7924301
12599;194400;-3406300;-3199301
1200;280499;-3522798;-3241099
48401;327900;-3482299;-3105998
86600;334900;-3336501;-2915001
62500;302499;-3450600;-3085601
19301;149899;-3464899;-3295699
23700;217200;-4585900;-4345000
21200;288699;-3790700;-3480801
16701;276200;-3462401;-3169500
74998;331501;-3278599;-2872100
38000;304101;-3374800;-3032699
19602;264399;-3249101;-2965100
28199;270200;-3451199;-3152800
22700;314499;-3877399;-3540200
18700;280401;-3209201;-2910100
-32901;330001;-3328700;-3031600

Mean
193995;268584;-3829040;-3366460
