layers;6;15;20;13;7
Training Iteration: 100
Learning Rate: 0.05

Layer;Data;Train;Runtime  -  whole_dataset_layer_alternative
17900;24105700;-65114500;-40990900
149900;24969500;-67840600;-42721200
-21900;23140300;-66753000;-43634600
67700;26252600;-63140000;-36819700
125300;23971100;-67631600;-43535200
66300;23599100;-66981300;-43315900
61800;23209800;-65179300;-41907700
63900;25092000;-70857200;-45701300
59200;27185700;-66205700;-38960800
110700;23300000;-65113400;-41702700
64800;23874300;-68176900;-44237800
114500;23837000;-67072200;-43120700
83600;23336400;-65285400;-41865400
63300;26829100;-66782300;-39889900
43700;23068100;-66905000;-43793200
59700;22846100;-67334600;-44428800
50700;25910800;-67231600;-41270100
71000;23686200;-65795500;-42038300
51800;25169000;-64660100;-39439300
55400;25295900;-66547000;-41195700

Mean
67965;24433935;-66530360;-42028460
