layers;11;17;24;20;15;13;7;4
Training Iteration: 100
Learning Rate: 0.05

Layer;Data;Train;Runtime  -  whole_dataset_layer_alternative
31600;32511444600;-4216069000;28295407200
120000;31689150000;-4307494700;27381775300
260600;29451888800;-4337839900;25114309500
151500;29114489100;-4290555800;24824084800
161300;28384159800;-4500719200;23883601900
149000;29555651300;-4402406200;25153394100
177100;28462248800;-5616642100;22845783800
140900;29437275300;-5571988000;23865428200
110300;28890593700;-5264057300;23626646700
125300;31428302200;-5043166300;26385261200
193900;31654539000;-5433190200;26221542700
130400;33539975800;-5817920700;27722185500
185800;32871863700;-5851101400;27020948100
133500;29927297000;-5501407800;24426022700
173600;28566406800;-5995213800;22571366600
128400;27496029000;-5761944300;21734213100
126300;29039228000;-5665931000;23373423300
134300;28513223200;-6325074700;22188282800
143100;28517897700;-5751592400;22766448400
149600;27196555500;-5595570200;21601134900

Mean
146325;29812410965;-5262494250;24550063040
