layers;6;15;20;13;7
Training Iteration: 100
Learning Rate: 0.05

Layer;Data;Train;Runtime  -  clean_dataset_layer_alternative
146400;6054100;15671900;21872400
74000;6522100;15257300;21853400
88800;8379700;15126400;23594900
84900;5928100;15011300;21024300
98600;5752300;15206100;21057000
90400;5750600;15041000;20882000
66300;6334300;15385500;21786100
91100;5800100;15042500;20933700
66100;6004700;15107400;21178200
75200;6042000;15162100;21279300
105500;6219900;15275700;21601100
77600;6018000;15026800;21122400
212300;6058300;14810800;21081400
128500;6360600;15005500;21494600
106200;5983100;15781100;21870400
68700;7324700;14936000;22329400
90100;5903400;14936400;20929900
88300;5942600;15231700;21262600
81000;6246500;15667000;21994500
168100;6444300;15049900;21662300

Mean
100405;6253470;15186620;21540495
