layers;9;15;20;17;10
Training Iteration: 100
Learning Rate: 0.05

Layer;Data;Train;Runtime  -  noise_dataset_layer_alternative
79601;639583300;156955400;796618301
151899;643565301;151872499;795589699
155300;639683599;157113700;796952599
146999;637141101;153941100;791229200
161801;641562900;157267299;798992000
142900;641157500;151110700;792411100
136599;641853201;151759000;793748800
131101;641356100;153866199;795353400
144900;632004999;151876601;784026500
176300;642079499;155457701;797713500
192100;638070300;154239800;792502200
135801;637946200;153815400;791897401
184300;639533399;152833701;792551400
154800;641804700;152642499;794601999
134799;641178801;154978299;796291899
160500;639461500;155041600;794663600
131500;641722000;156698900;798552400
156099;640289501;150954600;791400200
129100;645508200;151598000;797235300
145900;634676199;152638901;787461000

Mean
147614;640008915;153833094;793989624
