layers;9;12;15;10;5;4
Layer;Data;Train;Runtime  -  clean_data
278800;679750500;18518700;698548000
306100;579110600;19547700;598964400
228300;572980800;19267000;592476100

Mean
271066;610613966;19111133;629996166
